Gene_ID	Gene_Symbol	Species	Gene Name
60678	EEFSEC	Homo sapiens	"eukaryotic elongation factor, selenocysteine-tRNA specific(EEFSEC)"
1775	DNASE1L2	Homo sapiens	deoxyribonuclease 1 like 2(DNASE1L2)
84648	Lce3d	Homo sapiens	late cornified envelope 3D(LCE3D)
60677	CELF6	Homo sapiens	"CUGBP, Elav-like family member 6(CELF6)"
1774	DNASE1L1	Homo sapiens	deoxyribonuclease 1 like 1(DNASE1L1)
84643	KIF2B	Homo sapiens	kinesin family member 2B(KIF2B)
60676	PAPPA2	Homo sapiens	pappalysin 2(PAPPA2)
1773	DNASE1	Homo sapiens	deoxyribonuclease 1(DNASE1)
139170	DCAF12L1	Homo sapiens	DDB1 and CUL4 associated factor 12 like 1(DCAF12L1)
60675	prok2	Homo sapiens	prokineticin 2(PROK2)
200030	NBPF11	Homo sapiens	neuroblastoma breakpoint family member 11(NBPF11)
84645	C22orf23	Homo sapiens	chromosome 22 open reading frame 23(C22orf23)
57026	PDXP	Homo sapiens	pyridoxal phosphatase(PDXP)
152138	PYDC2	Homo sapiens	pyrin domain containing 2(PYDC2)
60673	ATG101	Homo sapiens	autophagy related 101(ATG101)
152137	CCDC50	Homo sapiens	coiled-coil domain containing 50(CCDC50)
60672	miip	Homo sapiens	migration and invasion inhibitory protein(MIIP)
84641	MFSD14B	Homo sapiens	major facilitator superfamily domain containing 14B(MFSD14B)
84640	USP38	Homo sapiens	ubiquitin specific peptidase 38(USP38)
154796	AMOT	Homo sapiens	angiomotin(AMOT)
1791	DNTT	Homo sapiens	DNA nucleotidylexotransferase(DNTT)
84629	TNRC18	Homo sapiens	trinucleotide repeat containing 18(TNRC18)
84628	NTNG2	Homo sapiens	netrin G2(NTNG2)
727897	MUC5B	Homo sapiens	"mucin 5B, oligomeric mucus/gel-forming(MUC5B)"
57030	SLC17A7	Homo sapiens	solute carrier family 17 member 7(SLC17A7)
1789	DNMT3B	Homo sapiens	DNA methyltransferase 3 beta(DNMT3B)
1788	DNMT3A	Homo sapiens	DNA methyltransferase 3 alpha(DNMT3A)
1787	TRDMT1	Homo sapiens	tRNA aspartic acid methyltransferase 1(TRDMT1)
1786	DNMT1	Homo sapiens	DNA methyltransferase 1(DNMT1)
1785	DNM2	Homo sapiens	dynamin 2(DNM2)
84632	AFAP1L2	Homo sapiens	actin filament associated protein 1 like 2(AFAP1L2)
57035	RSRP1	Homo sapiens	arginine and serine rich protein 1(RSRP1)
60686	c14orf93	Homo sapiens	chromosome 14 open reading frame 93(C14orf93)
1783	DYNC1LI2	Homo sapiens	dynein cytoplasmic 1 light intermediate chain 2(DYNC1LI2)
84634	KISS1R	Homo sapiens	KISS1 receptor(KISS1R)
57037	ANKMY2	Homo sapiens	ankyrin repeat and MYND domain containing 2(ANKMY2)
60685	ZFAND3	Homo sapiens	zinc finger AN1-type containing 3(ZFAND3)
100653049	LOC100653049	Homo sapiens	"keratin, type I cuticular Ha4(LOC100653049)"
57038	RARS2	Homo sapiens	"arginyl-tRNA synthetase 2, mitochondrial(RARS2)"
60684	TRAPPC11	Homo sapiens	trafficking protein particle complex 11(TRAPPC11)
60682	SMAP1	Homo sapiens	small ArfGAP 1(SMAP1)
84630	TTBK1	Homo sapiens	tau tubulin kinase 1(TTBK1)
60681	FKBP10	Homo sapiens	FK506 binding protein 10(FKBP10)
60680	CELF5	Homo sapiens	"CUGBP, Elav-like family member 5(CELF5)"
57045	TWSG1	Homo sapiens	twisted gastrulation BMP signaling modulator 1(TWSG1)
84669	USP32	Homo sapiens	ubiquitin specific peptidase 32(USP32)
84668	FAM126A	Homo sapiens	family with sequence similarity 126 member A(FAM126A)
1798	DPAGT1	Homo sapiens	dolichyl-phosphate N-acetylglucosaminephosphotransferase 1(DPAGT1)
1797	DXO	Homo sapiens	decapping exoribonuclease(DXO)
1796	DOK1	Homo sapiens	docking protein 1(DOK1)
84665	MYPN	Homo sapiens	myopalladin(MYPN)
1795	DOCK3	Homo sapiens	dedicator of cytokinesis 3(DOCK3)
57047	PLSCR2	Homo sapiens	phospholipid scramblase 2(PLSCR2)
1794	DOCK2	Homo sapiens	dedicator of cytokinesis 2(DOCK2)
84667	HES7	Homo sapiens	hes family bHLH transcription factor 7(HES7)
57048	PLSCR3	Homo sapiens	phospholipid scramblase 3(PLSCR3)
1793	DOCK1	Homo sapiens	dedicator of cytokinesis 1(DOCK1)
84661	DPY30	Homo sapiens	"dpy-30, histone methyltransferase complex regulatory subunit(DPY30)"
84660	CCDC62	Homo sapiens	coiled-coil domain containing 62(CCDC62)
84662	GLIS2	Homo sapiens	GLIS family zinc finger 2(GLIS2)
57054	DAZ3	Homo sapiens	deleted in azoospermia 3(DAZ3)
57055	DAZ2	Homo sapiens	deleted in azoospermia 2(DAZ2)
57050	UTP3	Homo sapiens	"UTP3, small subunit processome component homolog (S. cerevisiae)(UTP3)"
166793	zbtb49	Homo sapiens	zinc finger and BTB domain containing 49(ZBTB49)
493753	COA5	Homo sapiens	cytochrome c oxidase assembly factor 5(COA5)
84654	SPZ1	Homo sapiens	spermatogenic leucine zipper 1(SPZ1)
57057	TBX20	Homo sapiens	T-box 20(TBX20)
84656	GLYR1	Homo sapiens	glyoxylate reductase 1 homolog(GLYR1)
84650	EBPL	Homo sapiens	emopamil binding protein like(EBPL)
84651	SPINK7	Homo sapiens	"serine peptidase inhibitor, Kazal type 7 (putative)(SPINK7)"
10536	P3H3	Homo sapiens	prolyl 3-hydroxylase 3(P3H3)
10535	RNASEH2A	Homo sapiens	ribonuclease H2 subunit A(RNASEH2A)
252983	STXBP4	Homo sapiens	syntaxin binding protein 4(STXBP4)
10538	BATF	Homo sapiens	basic leucine zipper ATF-like transcription factor(BATF)
10537	UBD	Homo sapiens	ubiquitin D(UBD)
10539	GLRX3	Homo sapiens	glutaredoxin 3(GLRX3)
10531	PITRM1	Homo sapiens	pitrilysin metallopeptidase 1(PITRM1)
10534	SSSCA1	Homo sapiens	Sjogren syndrome/scleroderma autoantigen 1(SSSCA1)
10533	ATG7	Homo sapiens	autophagy related 7(ATG7)
100288797	TMEM239	Homo sapiens	transmembrane protein 239(TMEM239)
10549	PRDX4	Homo sapiens	peroxiredoxin 4(PRDX4)
252995	FNDC5	Homo sapiens	fibronectin type III domain containing 5(FNDC5)
10548	TM9SF1	Homo sapiens	transmembrane 9 superfamily member 1(TM9SF1)
200081	TXLNA	Homo sapiens	taxilin alpha(TXLNA)
10541	ANP32B	Homo sapiens	acidic nuclear phosphoprotein 32 family member B(ANP32B)
10540	DCTN2	Homo sapiens	dynactin subunit 2(DCTN2)
10542	LAMTOR5	Homo sapiens	"late endosomal/lysosomal adaptor, MAPK and MTOR activator 5(LAMTOR5)"
10544	PROCR	Homo sapiens	protein C receptor(PROCR)
100131608	PRR23D1	Homo sapiens	proline rich 23 domain containing 1(PRR23D1)
10514	MYBBP1A	Homo sapiens	MYB binding protein 1a(MYBBP1A)
10513	APPBP2	Homo sapiens	amyloid beta precursor protein binding protein 2(APPBP2)
10516	FBLN5	Homo sapiens	fibulin 5(FBLN5)
10518	CIB2	Homo sapiens	calcium and integrin binding family member 2(CIB2)
10519	CIB1	Homo sapiens	calcium and integrin binding 1(CIB1)
252969	NEIL2	Homo sapiens	nei like DNA glycosylase 2(NEIL2)
10512	SEMA3C	Homo sapiens	semaphorin 3C(SEMA3C)
404093	CUEDC1	Homo sapiens	CUE domain containing 1(CUEDC1)
10525	HYOU1	Homo sapiens	hypoxia up-regulated 1(HYOU1)
58503	OPRPN	Homo sapiens	opiorphin prepropeptide(OPRPN)
10524	KAT5	Homo sapiens	lysine acetyltransferase 5(KAT5)
10527	IPO7	Homo sapiens	importin 7(IPO7)
58505	OSTC	Homo sapiens	oligosaccharyltransferase complex non-catalytic subunit(OSTC)
10526	IPO8	Homo sapiens	importin 8(IPO8)
58504	ARHGAP22	Homo sapiens	Rho GTPase activating protein 22(ARHGAP22)
10529	NEBL	Homo sapiens	nebulette(NEBL)
10528	NOP56	Homo sapiens	NOP56 ribonucleoprotein(NOP56)
58500	ZNF250	Homo sapiens	zinc finger protein 250(ZNF250)
10521	DDX17	Homo sapiens	DEAD-box helicase 17(DDX17)
10520	ZNF211	Homo sapiens	zinc finger protein 211(ZNF211)
58506	SCAF1	Homo sapiens	SR-related CTD associated factor 1(SCAF1)
10523	CHERP	Homo sapiens	calcium homeostasis endoplasmic reticulum protein(CHERP)
58509	CACTIN	Homo sapiens	"cactin, spliceosome C complex subunit(CACTIN)"
10522	DEAF1	Homo sapiens	"DEAF1, transcription factor(DEAF1)"
58508	KMT2C	Homo sapiens	lysine methyltransferase 2C(KMT2C)
441024	MTHFD2L	Homo sapiens	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2-like(MTHFD2L)
58513	EPS15L1	Homo sapiens	epidermal growth factor receptor pathway substrate 15 like 1(EPS15L1)
84803	GPAT3	Homo sapiens	glycerol-3-phosphate acyltransferase 3(GPAT3)
58516	FAM60A	Homo sapiens	family with sequence similarity 60 member A(FAM60A)
58515	SELENOK	Homo sapiens	selenoprotein K(SELENOK)
58512	DLGAP3	Homo sapiens	DLG associated protein 3(DLGAP3)
164091	PAQR7	Homo sapiens	progestin and adipoQ receptor family member 7(PAQR7)
58511	DNASE2B	Homo sapiens	deoxyribonuclease 2 beta(DNASE2B)
58517	RBM25	Homo sapiens	RNA binding motif protein 25(RBM25)
152098	ZCWPW2	Homo sapiens	zinc finger CW-type and PWWP domain containing 2(ZCWPW2)
58525	WIZ	Homo sapiens	widely interspaced zinc finger motifs(WIZ)
58524	DMRT3	Homo sapiens	doublesex and mab-3 related transcription factor 3(DMRT3)
10505	SEMA4F	Homo sapiens	ssemaphorin 4F(SEMA4F)
58526	MID1IP1	Homo sapiens	MID1 interacting protein 1(MID1IP1)
10507	SEMA4D	Homo sapiens	semaphorin 4D(SEMA4D)
10509	SEMA4B	Homo sapiens	semaphorin 4B(SEMA4B)
58529	MYOZ1	Homo sapiens	myozenin 1(MYOZ1)
58528	RRAGD	Homo sapiens	Ras related GTP binding D(RRAGD)
10500	SEMA6C	Homo sapiens	semaphorin 6C(SEMA6C)
58530	LY6G6D	Homo sapiens	"lymphocyte antigen 6 complex, locus G6D(LY6G6D)"
84816	RTN4IP1	Homo sapiens	reticulon 4 interacting protein 1(RTN4IP1)
84818	IL17RC	Homo sapiens	interleukin 17 receptor C(IL17RC)
84817	TXNDC17	Homo sapiens	thioredoxin domain containing 17(TXNDC17)
84823	LMNB2	Homo sapiens	lamin B2(LMNB2)
58538	MPP4	Homo sapiens	membrane palmitoylated protein 4(MPP4)
58533	SNX6	Homo sapiens	sorting nexin 6(SNX6)
57209	ZNF248	Homo sapiens	zinc finger protein 248(ZNF248)
84808	PERM1	Homo sapiens	"PPARGC1 and ESRR induced regulator, muscle 1(PERM1)"
57210	SLC45A4	Homo sapiens	solute carrier family 45 member 4(SLC45A4)
84807	NFKBID	Homo sapiens	NFKB inhibitor delta(NFKBID)
84812	PLCD4	Homo sapiens	phospholipase C delta 4(PLCD4)
57215	THAP11	Homo sapiens	THAP domain containing 11(THAP11)
84811	BUD13	Homo sapiens	BUD13 homolog(BUD13)
57216	VANGL2	Homo sapiens	VANGL planar cell polarity protein 2(VANGL2)
84814	PLPP7	Homo sapiens	phospholipid phosphatase 7 (inactive)(PLPP7)
57213	SPRYD7	Homo sapiens	SPRY domain containing 7(SPRYD7)
57214	cemip	Homo sapiens	cell migration inducing hyaluronan binding protein(CEMIP)
493911	PHOSPHO2	Homo sapiens	"phosphatase, orphan 2(PHOSPHO2)"
648791	PPP1R3G	Homo sapiens	protein phosphatase 1 regulatory subunit 3G(PPP1R3G)
116412	ZNF837	Homo sapiens	zinc finger protein 837(ZNF837)
493901	RNASE12	Homo sapiens	ribonuclease A family member 12 (inactive)(RNASE12)
286380	FOXD4L3	Homo sapiens	forkhead box D4-like 3(FOXD4L3)
285051	c2orf61	Homo sapiens	chromosome 2 open reading frame 61(C2orf61)
10590	SCGN	Homo sapiens	"secretagogin, EF-hand calcium binding protein(SCGN)"
10592	SMC2	Homo sapiens	structural maintenance of chromosomes 2(SMC2)
10591	DNPH1	Homo sapiens	2'-deoxynucleoside 5'-phosphate N-hydrolase 1(DNPH1)
130733	TMEM178A	Homo sapiens	transmembrane protein 178A(TMEM178A)
359845	RFLNB	Homo sapiens	refilin B(RFLNB)
10594	PRPF8	Homo sapiens	pre-mRNA processing factor 8(PRPF8)
10598	AHSA1	Homo sapiens	activator of Hsp90 ATPase activity 1(AHSA1)
10570	DPYSL4	Homo sapiens	dihydropyrimidinase like 4(DPYSL4)
128434	VSTM2L	Homo sapiens	V-set and transmembrane domain containing 2 like(VSTM2L)
116447	TOP1MT	Homo sapiens	"topoisomerase (DNA) I, mitochondrial(TOP1MT)"
116449	CLNK	Homo sapiens	cytokine dependent hematopoietic cell linker(CLNK)
116448	olig1	Homo sapiens	oligodendrocyte transcription factor 1(OLIG1)
10579	TACC2	Homo sapiens	transforming acidic coiled-coil containing protein 2(TACC2)
115123	3-Mar	Homo sapiens	membrane associated ring-CH-type finger 3(MARCH3)
10572	SIVA1	Homo sapiens	SIVA1 apoptosis inducing factor(SIVA1)
10574	CCT7	Homo sapiens	chaperonin containing TCP1 subunit 7(CCT7)
10573	MRPL28	Homo sapiens	mitochondrial ribosomal protein L28(MRPL28)
10576	CCT2	Homo sapiens	chaperonin containing TCP1 subunit 2(CCT2)
10575	CCT4	Homo sapiens	chaperonin containing TCP1 subunit 4(CCT4)
10578	GNLY	Homo sapiens	granulysin(GNLY)
10577	NPC2	Homo sapiens	NPC intracellular cholesterol transporter 2(NPC2)
10581	IFITM2	Homo sapiens	interferon induced transmembrane protein 2(IFITM2)
286336	FAM78A	Homo sapiens	family with sequence similarity 78 member A(FAM78A)
10580	sorbs1	Homo sapiens	sorbin and SH3 domain containing 1(SORBS1)
115106	HAUS1	Homo sapiens	HAUS augmin like complex subunit 1(HAUS1)
116441	TM4SF18	Homo sapiens	transmembrane 4 L six family member 18(TM4SF18)
116443	GRIN3A	Homo sapiens	glutamate ionotropic receptor NMDA type subunit 3A(GRIN3A)
116442	RAB39B	Homo sapiens	"RAB39B, member RAS oncogene family(RAB39B)"
116444	GRIN3B	Homo sapiens	glutamate ionotropic receptor NMDA type subunit 3B(GRIN3B)
128414	nkain4	Homo sapiens	Na+/K+ transporting ATPase interacting 4(NKAIN4)
10585	POMT1	Homo sapiens	protein O-mannosyltransferase 1(POMT1)
10587	TXNRD2	Homo sapiens	thioredoxin reductase 2(TXNRD2)
10586	MAB21L2	Homo sapiens	mab-21 like 2(MAB21L2)
10589	DRAP1	Homo sapiens	DR1 associated protein 1(DRAP1)
10588	MTHFS	Homo sapiens	"5,10-methenyltetrahydrofolate synthetase (5-formyltetrahydrofolate cyclo-ligase)(MTHFS)"
286343	LURAP1L	Homo sapiens	leucine rich adaptor protein 1 like(LURAP1L)
285016	FAM150B	Homo sapiens	family with sequence similarity 150 member B(FAM150B)
10558	SPTLC1	Homo sapiens	serine palmitoyltransferase long chain base subunit 1(SPTLC1)
10557	RPP38	Homo sapiens	ribonuclease P/MRP subunit p38(RPP38)
10559	slc35a1	Homo sapiens	solute carrier family 35 member A1(SLC35A1)
10550	ARL6IP5	Homo sapiens	ADP ribosylation factor like GTPase 6 interacting protein 5(ARL6IP5)
10552	ARPC1A	Homo sapiens	actin related protein 2/3 complex subunit 1A(ARPC1A)
10551	AGR2	Homo sapiens	"anterior gradient 2, protein disulphide isomerase family member(AGR2)"
10554	AGPAT1	Homo sapiens	1-acylglycerol-3-phosphate O-acyltransferase 1(AGPAT1)
10553	HTATIP2	Homo sapiens	HIV-1 Tat interactive protein 2(HTATIP2)
128408	BHLHE23	Homo sapiens	basic helix-loop-helix family member e23(BHLHE23)
10556	RPP30	Homo sapiens	ribonuclease P/MRP subunit p30(RPP30)
10555	AGPAT2	Homo sapiens	1-acylglycerol-3-phosphate O-acyltransferase 2(AGPAT2)
100534599	ISY1-RAB43	Homo sapiens	ISY1-RAB43 readthrough(ISY1-RAB43)
285025	CCDC141	Homo sapiens	coiled-coil domain containing 141(CCDC141)
10569	SLU7	Homo sapiens	"SLU7 homolog, splicing factor(SLU7)"
10568	SLC34A2	Homo sapiens	solute carrier family 34 member 2(SLC34A2)
10561	IFI44	Homo sapiens	interferon induced protein 44(IFI44)
10560	SLC19A2	Homo sapiens	solute carrier family 19 member 2(SLC19A2)
10563	CXCL13	Homo sapiens	C-X-C motif chemokine ligand 13(CXCL13)
10562	OLFM4	Homo sapiens	olfactomedin 4(OLFM4)
10565	ARFGEF1	Homo sapiens	ADP ribosylation factor guanine nucleotide exchange factor 1(ARFGEF1)
10564	ARFGEF2	Homo sapiens	ADP ribosylation factor guanine nucleotide exchange factor 2(ARFGEF2)
10567	RABAC1	Homo sapiens	Rab acceptor 1(RABAC1)
10566	AKAP3	Homo sapiens	A-kinase anchoring protein 3(AKAP3)
57180	ACTR3B	Homo sapiens	ARP3 actin related protein 3 homolog B(ACTR3B)
129685	TAF8	Homo sapiens	TATA-box binding protein associated factor 8(TAF8)
57185	NIPAL3	Homo sapiens	NIPA like domain containing 3(NIPAL3)
116369	SLC26A8	Homo sapiens	solute carrier family 26 member 8(SLC26A8)
57186	RALGAPA2	Homo sapiens	Ral GTPase activating protein catalytic alpha subunit 2(RALGAPA2)
57187	THOC2	Homo sapiens	THO complex 2(THOC2)
57188	ADAMTSL3	Homo sapiens	ADAMTS like 3(ADAMTSL3)
57182	ANKRD50	Homo sapiens	ankyrin repeat domain 50(ANKRD50)
94122	SYTL5	Homo sapiens	synaptotagmin like 5(SYTL5)
94121	SYTL4	Homo sapiens	synaptotagmin like 4(SYTL4)
57184	FAM219B	Homo sapiens	family with sequence similarity 219 member B(FAM219B)
94120	SYTL3	Homo sapiens	synaptotagmin like 3(SYTL3)
116372	LYPD1	Homo sapiens	LY6/PLAUR domain containing 1(LYPD1)
57189	KIAA1147	Homo sapiens	KIAA1147(KIAA1147)
116379	IL22RA2	Homo sapiens	interleukin 22 receptor subunit alpha 2(IL22RA2)
127018	LYPLAL1	Homo sapiens	lysophospholipase like 1(LYPLAL1)
83478	arhgap24	Homo sapiens	Rho GTPase activating protein 24(ARHGAP24)
83473	KATNAL2	Homo sapiens	katanin catalytic subunit A1 like 2(KATNAL2)
83475	DOHH	Homo sapiens	deoxyhypusine hydroxylase/monooxygenase(DOHH)
94115	CGB8	Homo sapiens	chorionic gonadotropin beta subunit 8(CGB8)
57190	SELENON	Homo sapiens	selenoprotein N(SELENON)
57191	VN1R1	Homo sapiens	vomeronasal 1 receptor 1(VN1R1)
166614	DCLK2	Homo sapiens	doublecortin like kinase 2(DCLK2)
57198	ATP8B2	Homo sapiens	ATPase phospholipid transporting 8B2(ATP8B2)
57192	MCOLN1	Homo sapiens	mucolipin 1(MCOLN1)
57194	ATP10A	Homo sapiens	ATPase phospholipid transporting 10A (putative)(ATP10A)
116362	RBP7	Homo sapiens	retinol binding protein 7(RBP7)
83461	CDCA3	Homo sapiens	cell division cycle associated 3(CDCA3)
84792	FAM220A	Homo sapiens	family with sequence similarity 220 member A(FAM220A)
83464	APH1B	Homo sapiens	"aph-1 homolog B, gamma-secretase subunit(APH1B)"
84795	PYROXD2	Homo sapiens	pyridine nucleotide-disulphide oxidoreductase domain 2(PYROXD2)
83463	MXD3	Homo sapiens	MAX dimerization protein 3(MXD3)
83460	EMC6	Homo sapiens	ER membrane protein complex subunit 6(EMC6)
84790	TUBA1C	Homo sapiens	tubulin alpha 1c(TUBA1C)
154661	RUNDC3B	Homo sapiens	RUN domain containing 3B(RUNDC3B)
154664	ABCA13	Homo sapiens	ATP binding cassette subfamily A member 13(ABCA13)
166647	adgra3	Homo sapiens	adhesion G protein-coupled receptor A3(ADGRA3)
153339	TMEM167A	Homo sapiens	transmembrane protein 167A(TMEM167A)
115019	SLC26A9	Homo sapiens	solute carrier family 26 member 9(SLC26A9)
127002	ATXN7L2	Homo sapiens	ataxin 7 like 2(ATXN7L2)
142680	SLC34A3	Homo sapiens	solute carrier family 34 member 3(SLC34A3)
115024	NT5C3B	Homo sapiens	"5'-nucleotidase, cytosolic IIIB(NT5C3B)"
142679	DUSP19	Homo sapiens	dual specificity phosphatase 19(DUSP19)
142678	MIB2	Homo sapiens	mindbomb E3 ubiquitin protein ligase 2(MIB2)
346562	GNAT3	Homo sapiens	G protein subunit alpha transducin 3(GNAT3)
94137	RP1L1	Homo sapiens	retinitis pigmentosa 1 like 1(RP1L1)
1809	DPYSL3	Homo sapiens	dihydropyrimidinase like 3(DPYSL3)
153328	SLC25A48	Homo sapiens	solute carrier family 25 member 48(SLC25A48)
94134	ARHGAP12	Homo sapiens	Rho GTPase activating protein 12(ARHGAP12)
1800	DPEP1	Homo sapiens	dipeptidase 1 (renal)(DPEP1)
142684	RAB40A	Homo sapiens	"RAB40A, member RAS oncogene family(RAB40A)"
142685	ASB15	Homo sapiens	ankyrin repeat and SOCS box containing 15(ASB15)
152007	GLIPR2	Homo sapiens	GLI pathogenesis related 2(GLIPR2)
152006	RNF38	Homo sapiens	ring finger protein 38(RNF38)
1808	DPYSL2	Homo sapiens	dihydropyrimidinase like 2(DPYSL2)
1807	DPYS	Homo sapiens	dihydropyrimidinase(DPYS)
142689	ASB12	Homo sapiens	ankyrin repeat and SOCS box containing 12(ASB12)
83483	PLVAP	Homo sapiens	plasmalemma vesicle associated protein(PLVAP)
1806	DPYD	Homo sapiens	dihydropyrimidine dehydrogenase(DPYD)
1805	DPT	Homo sapiens	dermatopontin(DPT)
1804	DPP6	Homo sapiens	dipeptidyl peptidase like 6(DPP6)
83480	PUS3	Homo sapiens	pseudouridylate synthase 3(PUS3)
1803	DPP4	Homo sapiens	dipeptidyl peptidase 4(DPP4)
1802	DPH2	Homo sapiens	DPH2 homolog(DPH2)
1801	DPH1	Homo sapiens	diphthamide biosynthesis 1(DPH1)
83481	EPPK1	Homo sapiens	epiplakin 1(EPPK1)
131965	METTL6	Homo sapiens	methyltransferase like 6(METTL6)
1811	SLC26A3	Homo sapiens	solute carrier family 26 member 3(SLC26A3)
1810	DR1	Homo sapiens	down-regulator of transcription 1(DR1)
727936	GXYLT2	Homo sapiens	glucoside xylosyltransferase 2(GXYLT2)
143941	TTC36	Homo sapiens	tetratricopeptide repeat domain 36(TTC36)
1819	DRG2	Homo sapiens	developmentally regulated GTP binding protein 2(DRG2)
1816	DRD5	Homo sapiens	dopamine receptor D5(DRD5)
1815	DRD4	Homo sapiens	dopamine receptor D4(DRD4)
1814	DRD3	Homo sapiens	dopamine receptor D3(DRD3)
1813	DRD2	Homo sapiens	dopamine receptor D2(DRD2)
1812	DRD1	Homo sapiens	dopamine receptor D1(DRD1)
1822	ATN1	Homo sapiens	atrophin 1(ATN1)
1821	DRP2	Homo sapiens	dystrophin related protein 2(DRP2)
1820	ARID3A	Homo sapiens	AT-rich interaction domain 3A(ARID3A)
1829	DSG2	Homo sapiens	desmoglein 2(DSG2)
1828	DSG1	Homo sapiens	desmoglein 1(DSG1)
1827	RCAN1	Homo sapiens	regulator of calcineurin 1(RCAN1)
285093	RTP5	Homo sapiens	receptor transporter protein 5 (putative)(RTP5)
1826	DSCAM	Homo sapiens	DS cell adhesion molecule(DSCAM)
1825	DSC3	Homo sapiens	desmocollin 3(DSC3)
1824	DSC2	Homo sapiens	desmocollin 2(DSC2)
1823	DSC1	Homo sapiens	desmocollin 1(DSC1)
347862	PDDC1	Homo sapiens	Parkinson disease 7 domain containing 1(PDDC1)
407977	TNFSF12-TNFSF13	Homo sapiens	TNFSF12-TNFSF13 readthrough(TNFSF12-TNFSF13)
1833	EPYC	Homo sapiens	epiphycan(EPYC)
1832	DSP	Homo sapiens	desmoplakin(DSP)
1831	TSC22D3	Homo sapiens	TSC22 domain family member 3(TSC22D3)
1830	DSG3	Homo sapiens	desmoglein 3(DSG3)
1839	HBEGF	Homo sapiens	heparin binding EGF like growth factor(HBEGF)
1838	DTNB	Homo sapiens	dystrobrevin beta(DTNB)
1837	DTNA	Homo sapiens	dystrobrevin alpha(DTNA)
347853	TBX10	Homo sapiens	T-box 10(TBX10)
100130348	TMEM262	Homo sapiens	transmembrane protein 262(TMEM262)
1844	DUSP2	Homo sapiens	dual specificity phosphatase 2(DUSP2)
1843	DUSP1	Homo sapiens	dual specificity phosphatase 1(DUSP1)
1842	ECM2	Homo sapiens	extracellular matrix protein 2(ECM2)
1841	DTYMK	Homo sapiens	deoxythymidylate kinase(DTYMK)
1840	DTX1	Homo sapiens	deltex E3 ubiquitin ligase 1(DTX1)
1849	DUSP7	Homo sapiens	dual specificity phosphatase 7(DUSP7)
1848	DUSP6	Homo sapiens	dual specificity phosphatase 6(DUSP6)
1847	DUSP5	Homo sapiens	dual specificity phosphatase 5(DUSP5)
1846	DUSP4	Homo sapiens	dual specificity phosphatase 4(DUSP4)
1845	DUSP3	Homo sapiens	dual specificity phosphatase 3(DUSP3)
164045	HFM1	Homo sapiens	"HFM1, ATP dependent DNA helicase homolog(HFM1)"
84717	HDGFRP2	Homo sapiens	hepatoma-derived growth factor-related protein 2(HDGFRP2)
1855	DVL1	Homo sapiens	dishevelled segment polarity protein 1(DVL1)
57105	CYSLTR2	Homo sapiens	cysteinyl leukotriene receptor 2(CYSLTR2)
1854	DUT	Homo sapiens	deoxyuridine triphosphatase(DUT)
57106	NAT14	Homo sapiens	N-acetyltransferase 14 (putative)(NAT14)
84726	PRRC2B	Homo sapiens	proline rich coiled-coil 2B(PRRC2B)
57107	PDSS2	Homo sapiens	"prenyl (decaprenyl) diphosphate synthase, subunit 2(PDSS2)"
1852	DUSP9	Homo sapiens	dual specificity phosphatase 9(DUSP9)
84725	PLEKHA8	Homo sapiens	pleckstrin homology domain containing A8(PLEKHA8)
84720	PIGO	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class O(PIGO)
57101	ANO2	Homo sapiens	anoctamin 2(ANO2)
1850	DUSP8	Homo sapiens	dual specificity phosphatase 8(DUSP8)
57102	c12orf4	Homo sapiens	chromosome 12 open reading frame 4(C12orf4)
84722	PSRC1	Homo sapiens	proline and serine rich coiled-coil 1(PSRC1)
57103	TIGAR	Homo sapiens	TP53 induced glycolysis regulatory phosphatase(TIGAR)
57104	PNPLA2	Homo sapiens	patatin like phospholipase domain containing 2(PNPLA2)
1859	DYRK1A	Homo sapiens	dual specificity tyrosine phosphorylation regulated kinase 1A(DYRK1A)
57109	REXO4	Homo sapiens	"REX4 homolog, 3'-5' exonuclease(REXO4)"
1857	DVL3	Homo sapiens	dishevelled segment polarity protein 3(DVL3)
1856	DVL2	Homo sapiens	dishevelled segment polarity protein 2(DVL2)
84709	mgarp	Homo sapiens	mitochondria localized glutamic acid rich protein(MGARP)
57110	HRASLS	Homo sapiens	HRAS like suppressor(HRASLS)
57111	RAB25	Homo sapiens	"RAB25, member RAS oncogene family(RAB25)"
84706	GPT2	Homo sapiens	glutamic--pyruvic transaminase 2(GPT2)
84705	GTPBP3	Homo sapiens	GTP binding protein 3 (mitochondrial)(GTPBP3)
84708	LNX1	Homo sapiens	ligand of numb-protein X 1(LNX1)
84707	BEX2	Homo sapiens	brain expressed X-linked 2(BEX2)
57116	ZNF695	Homo sapiens	zinc finger protein 695(ZNF695)
57117	INTS12	Homo sapiens	integrator complex subunit 12(INTS12)
57118	CAMK1D	Homo sapiens	calcium/calmodulin dependent protein kinase ID(CAMK1D)
57119	Eppin	Homo sapiens	epididymal peptidase inhibitor(EPPIN)
1861	TOR1A	Homo sapiens	torsin family 1 member A(TOR1A)
57113	TRPC7	Homo sapiens	transient receptor potential cation channel subfamily C member 7(TRPC7)
1869	E2F1	Homo sapiens	E2F transcription factor 1(E2F1)
